id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
2262,Marcomm Senior Manager - Direct Marketing (ID: 539516),Jakarta Raya,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Seni/Media/Komunikasi,Hubungan Masyarakat","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",26 days,1001 - 2000 pekerja,Manajemen/Konsulting HR,"PERSOLKELLY Indonesia is currently assisting a client in Direct Marketing industry to fulfil a vacant position in Marketing Communication Senior Manager role. Please see the details below:Responsibilities:• Creates, implements and oversees communications programs that effectively describe and promote the organization and its products.• Manages the research and development of content for publication needed.• Manage all digital channels including the website, email marketing campaigns and social media platforms such as Facebook, Twitter, Instagram and YouTube• Manages subordinate staff in the day-to-day performance of their jobs. Ensures that project/department milestones/goals are met and adhering to approved budgets• In charge of scheduling and strategizing the marketing communications calendar for the year and managing all communications from the company to customers/distributors; must be sensitive to market trends and quick to respond to needs of the marketRequirements:• Candidate must possess at least Bachelor's Degree in Marketing, Public Relation or equivalent• At least 5 Year(s) of working experience as a Manager • Experienced in Direct Marketing industry is preferable• Able to analyze trend, viewers and followers in market, in order to be able to produce the right content with the right market/audience• Strong communication and influencing skills across all levels, both internally & externally• Good knowledge of web authoring, image editing and design application• Possesses strong social media knowledge and experience",
2263,Sales Banquet Manager,Sidoarjo,IDR,Manajer/Asisten Manajer,2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Penjualan / Pemasaran,Telesales/Telemarketing","Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",,51 - 200 pekerja,Hotel/Pariwisata,"Job Qualification :Have 2 years experience in Hospitality Industry or Hotel as Banquet SalesHave A Wedding Organizer or Event Organizer Experience are welcome to apply.Have experienced handling event banquet specially wedding and social eventsHave a good communication skill, handling client, selling, negotiation and networking skills.Fluent in English and computer literate (MS Office & MS Excel).Strong interpersonal, have a good personality, hands on, can work as team and individually.Willing to work with target.Able to use social media as promotion media is a plus point.Job Description :Selling Banquet Products to customers.Create Banquet Event Order for handled event.Check all Event Orders before handed over to FB Manager and Operational Team.Check the preparation of the event (wedding, meeting, or other event).Making Banquet Forecast Report every week.Direct report to General ManagerPlacement in Luminor Hotel Sidoarjo",
2264,Field Investigator,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ",Kasual (contoh: Kaos),,201 - 500 pekerja,Perbankan/Pelayanan Keuangan,Conduct information collection charge of business investigation auditing.Responsible for security and investigation related data collection or others.Analyze evidence reports and solving cases.Conduct with photograph and audio surveillance.Develop reports and providing evidence.Liaise with superior for day to day cases,
2265,ADMIN LAPANGAN,Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",,27 days,1- 50 pekerja,Properti/Real Estate,"Kualifikasi:Umur maksimal 30Memiliki kendaraan minimal motor dan memiliki SIM CDiwajibkan dapat bernegosiasiJujur, cekatan dan disiplinMentaati peraturan kantorDiwajibkan dapat bernegosiasi dilapangan pada saat penagihanMemiliki HP (ponsel)Mampu bekerja di bawah tekananDapat menggunakan Microsoft OfficePenempatan Cipanas, Jawa Barat.Diutamakan memiliki pengalaman di bidang collection/penagihanDeskripsi pekerjaan:Melakukan penagihanMembuat laporan setiap hariUpdate data customer",
2266,SUPERVISOR GUDANG RM & FG BOGOR,Bogor,IDR,Supervisor/Koordinator,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan",Asuransi kesehatan;Formil (contoh: Kemeja + Dasi);Senin-Jumat,12 days,201 - 500 pekerja,Makanan & Minuman/Katering/Restoran,"Tanggung jawab :Bertanggung jawab dalam pengelolaan gudang mulai dari penerimaan, penyimpanan, perawatan, pencatatan, pengolahan dan pemindahan serta pendistribusian Material (RM) dan Barang Jadi (FG) pada warehouse.Bertanggung jawab atas pengembangan Warehouse Management System.Bertanggung jawab dalam perencanaan dan implementasi program kerja serta sasaran mutu departemen Gudang.Bertanggung jawab atas pengembangan SDM dan sistem divisi gudang.Bertanggung jawab atas 5R di Departemen Warehouse.Bertanggung jawab atas seluruh transaksi yang terjadi di gudang (in-out) dan ikut penyerahan barang/produknyaMenjalankan FIFOMengawasi Cleaning Sanitasi gudangSO stock daily & monthlyBriefing operatorKualifikasi :Pendidikan minimal D3 segala jurusanPengalaman dibidang Manufacturing Makanan minimal 3 tahunMemiliki Leadership yang baikJujur, teliti, aktif, komunikatifComputer skill (Word,Excel,Power Point)Siap kerja dalam tekanan & loyalBersedia Penempatan Kerja di Cidokom - Gunung Sindur Bogor Benefits : Gaji pokok + uang makan + uang transportTunjangan Jabatan + Tunjangan KomunikasiBPJS KetenagakerjaanBPJS KesehatanPeluang jenjang karier Kelengkapan Berkas Lamaran : CV + Foto terbaruIjasah pendidikan terakhirTranskrip nilaiSKCK",
2267,Digital Product Manager,Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi Gigi;Tip;Asuransi kesehatan;Penglihatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",29 days,501 - 1000 pekerja,Retail/Merchandise,"Job Description:Plan and design experiments to support new product development or existing product improvement.Monitor and analyze experiment result and summarize learnings from those experiment.Prepare presentations for key strategic meetings such as Manager and Director meetings/updates.Conduct research or surveys that relate to new product development or existing product improvement.Track and manage key initiatives currently being undertaken by the team.Requirement:Minimum 3 year experience in an Analytical Role, preferably Product Manager in E-Commerce and Tech Industry.Solid experience in data analysis, reporting, and visualization, preferable hands on analytical project with Tableau, Excel, and SQL.Moderate knowledge in big data platform, such as Hadoop or Big Query.Having experience in making prototype, preferable Axure (or one of your own such as Adobe XD, Sketch, etc).Become a bridge communication between the team, engineers, and business users or analysts.Attention to detail.Problem-solving aptitude.Required language: English, Bahasa Indonesia.",
2268,ACCOUNTING STAFF,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);office hours depends on location / building,28 days,501 - 1000 pekerja,Travel/Pariwisata,"JOB VACANCY FOR:“ACCOUNTING OFFICER” JOB DESCRIPTIONResponsible for Accounting and fund administration mattersEnsure accuracy and completeness of dataQUALIFICATIONDiploma Degree or Bachelor Degree of Economic or Accounting.1 year experience as Accounting Staff or FRESH GRADUATEUnderstand & Updated with accounting standardCan operated computer (system, Ms. Office, etc).Attentive, fast learnerAble to Join Immediatelybased in Jakarta & Yogyakarta",
2269,Kabag IT Infrastructure,Jakarta Barat,IDR,Supervisor/Koordinator,3 tahun,Sarjana (S1),Penuh Waktu,"Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",13 days,2001 - 5000 pekerja,Makanan & Minuman/Katering/Restoran,"Usia maksimal 30 tahunPendidikan minimal S1 Teknologi Informasi / Sistem Informasi, IPK >3.00Pengalaman di bagian IT Infrastructure 3thn (Diutamakan pengalaman di perusahaan Internet Service Provider)Bertanggung jawab dalam menghandle Jaringan, Infrastructure, Bandwith, Security, Virtualisasi ServerMemahami dalam set up & Maintenance MikrotikDapat membuat Topologi JaringanBertanggung jawab dalam mengatur bandwith internet, dan Keamanan SecurityMemahami & Dapat mengaplikasi Virtualisasi Server (VM Ware, Proxmox)Memahami mengenai Linux ServerMemahami mengenai IT Infrastructure dengan baik",
2270,Supervisor QA & QC,Cikarang,IDR,Supervisor/Koordinator,2 tahun,Tidak terspesifikasi,Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA","Asuransi kesehatan;Waktu regular, Senin - Jumat;Uniform",29 days,201 - 500 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,"Minimal D3Mampu Mengoperasikan Microsoft Office (Excell, Power Point)Pengalaman dalam Quality Control & Assurance pada bidang usaha AutomotivePaham & menguasai Audit IATF 16949Logis, analitis & mempunyai kemampuan problem solving (Why why analysis/8D report)Mampu berkerja dalam teammaupun bekerja mandiri, teliti & detailDapat Mengatur dan mengawasi pekerjaan bawahanyaBisa melakukan komunikasi dengan customer ( meeting / joint check)Mampu membuat document (WI, Check Sheet, Inspection standard & Control plan)Memiliki SIM A (Optional)Bisa bekerja dibawah tekananBersedia ditempatkan di Cikarang",
2271,Beauty Therapist,Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Pelayanan,Perawatan Pribadi",,,1- 50 pekerja,Perawatan/Kecantikan/Fitnes,"Beauty Therapist / Terapis KecantikanMelakukan perawatan kecantikan kepada konsumen dan memberikan informasi seputar kecantikan dan perawatan (jenis kulit, kebutuhan kulit dan sebagainya)Tanggung Jawab Pekerjaan :– Melakukan berbagai macam treatment kecantikan, mulai dari manicure, facial care, serta treatment lain yang tersedia di Koolit Beauty House– Mempromosikan treatment kepada pelanggan– Berkomunikasi dengan klien untuk mengetahui kebutuhan mereka serta informasi seputar kecantikan dan perawatan (jenis kulit, kebutuhan kulit dan sebagainya)– Menjaga kenyamanan konsumen sepanjang perawatan berlangsung",
2272,Purchasing,Jakarta Barat,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,Tidak terspesifikasi,Penuh Waktu,"Manufaktur,Pembelian/Manajemen Material",Kasual (contoh: Kaos),2 days,1- 50 pekerja,Pelayanan Arsitek/Desain Interior,"Membuat purchase order (PO) dan melakukan pembelian barang dan jasa untuk keperluan proyekMenganalisa dokumen mengenai penawaran harga, PO, price list, dan invoiceMencari vendor / supplier yang potensial serta melakukan negosiasi hargaMenyiapkan laporan pembelian termasuk analisis biayaBerkoordinasi dengan tim internal terkait stok dan jadwal pengiriman barang ke lokasi proyekKualifikasi Khusus :Berpengalaman minimal3 tahun dalam bidang Purchasing di perusahaan  Kontraktor InteriorMampu membaca gambar kerja interiorMemahami material bangunan (Arsitektur dan Interior)Menguasai pembelian material dengan berbagai metodeMampu menganalisa harga satuan dan pembelian barang kebutuhan proyekMenguasai Program Microsoft Office terutama ExcelKualifikasi Umum :Memiliki kemampuan analisa yang tinggi, profesional, jujur, disiplin, tepat waktu, dan cekatanMampu berkomunikasi dan bernegosiasi secara profesional dengan vendor dan pihak eksternalMampu bekerja cepat sesuai target dan kebutuhan timUsia maksimal 32 Tahun",5500000.0
2273,Branch Manager (Sumatera),Sumatera Barat,IDR,Manajer/Asisten Manajer,4 tahun,Sarjana (S1),Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan","Tip;Asuransi kesehatan;Pinjaman;Parkir;Penglihatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",22 days,Lebih dari 5000 pekerja,Perbankan/Pelayanan Keuangan,"Tanggung Jawab :Mengelola pendistribusian target penjualan serta melakukan monitoring dan evaluasi terhadap pencapaian target penjualan pada branchBertanggung jawab juga terhadap Credit & Collection di Cabang Memastikan terlaksananya pengelolaan jaringan (sales force)Memastikan terlaksananya pembinaan hubungan baik dengan jaringan dan seluruh pihak terkait, pada lokasi branch areaMemastikan ketersediaan program promosi dan implementasi promosi yang sesuai dengan kebutuhan cabangMengelola proses monitoring dan evaluasi performance cabang, termasuk performance counter pada area cabangBertanggung jawab menanamkan dan menjaga integritas tim yang ada dibawahnyaKualifikasi :Usia maksimal 38 tahunPendidikan minimal S1Memiliki pengalaman minimal 4 tahunMemiliki kemampuan menyusun strategi dan rencana penjualanMemiliki jaringan yang luas dalam menangani penjualanMemiliki kemampuan interpersonal yang kuat dan menjalin hubungan yang baik dengan customer.Memiliki kemampuan Negosiasi dan Analisa DataMemiliki kemampuan aplikasi komputer, Ms Excel, Ms. Word, Ms. Power Point yang baikMemiliki jiwa kepemimpinan yang kuat, mampu bekerja sama dalam tim serta berorientasi pada targetDapat melakukan Perjalanan DinasBersedia ditempatkan di salah satu kantor cabang Mandala Finance Wilayah Sumatera",
2274,Branch Manager,Jakarta Raya,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Teknik,Mekanikal",,21 days,51 - 200 pekerja,Industri Berat/Mesin/Peralatan,"Kualifikasi :Pendidikan minimal S1.Usia maksimal 40 thnBerpengalaman sebagai Kepala Cabang minimal 3 (tiga) tahun dibidang otomotif atau alat berat.Berpengalaman dalam mengelola target penjualan, operasional dan pelayanan terhadap pelanggan.Memiliki kemampuan dalam mengoperasionalkan Komputer (MS Office) dan lebih disukai yang memahami sistem ERP.Tugas & Tanggungjawab :Bertanggungjawab atas pencapaian sales target dan after sales service yang telah ditetapkan Perusahaan.Bertanggungjawab atas ketersediaan parts dan kebutuhan service pelanggan.Bertanggungjawab atas operasional di cabangnya dan pemenuhan standarisasi principal.",
2275,Tracer Shopee Express (Hub Tungkal Jaya - Kab. Musi Banyuasin),Sumatera Selatan,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Kontrak,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Tip;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",21 days,2001 - 5000 pekerja,Retail/Merchandise,"Persyaratan:Minimal lulusan Diploma dari semua jurusan.Memiliki 0-1 tahun pengalaman sebagai Admin di lapangan/warehouse.Terbiasa dalam menggunakan Ms. Excel (VLOOKUP, SUM, IF).Paham dengan inbound & outbound serta distribusi barang.Domisili Tungkal Jaya, Kabupaten Musi Banyuasin (Sumatera Selatan)Bersedia join secepatnya dan dapat bekerja shifting. Tugas & Tanggung Jawab: Menginput data parcel masuk dan keluar.Memastikan data di sistem sesuai dengan data fisik.Melakukan administrasi yang diperlukan dalam kegiatan gudang.",
2276,Supervisor Finance & Accounting,Makassar,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Kontrak,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",Asuransi kesehatan;Pinjaman;Bisnis (contoh: Kemeja),12 days,501 - 1000 pekerja,Umum & Grosir,"Usia maksimal 37 tahunMenguasai siklus akuntansi, analisa laporan keuangan dan perpajakanMemiliki pengalaman kerja sebagai Supervisor Finance & Accounting minimal 2 tahunMinimal lulusan S1Menguasai aplikasi AccurateMemiliki kemampuann leadership yang baikMampu bekerja dibawah tekananMemiliki kemampuan komunikasi yang baik",6000000.0
2277,Accounting Staff,Jawa Barat,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,Sarjana (S1),Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",,,,Tekstil/Garment,Kriteria :Usia max 35thnS1 akuntansiPengalaman kerja min 2 thn sebagai accountingLokasi Bandung BaratJob DeskriptionMembuat pembukuan keuanganMelakukan posting jurnal operasionalMembuat laporan keuanganMenginput data jurnal ke dalam sistem yang dimiliki perusahaan Memeriksan dan melakukan verifikasi kelengkapan dokumen yang berhubungan dengan transaksi keuanganMelakukan rekonsiliasi data finansial Mempunyai passion dibidang Finance & Accounting,5000000.0
2278,"Assistant Manager, Marketing",Tangerang,IDR,Tidak Terspesifikasi,,Tidak terspesifikasi,,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",,,,Lainnya,"Job DescriptionExpectations Of This Role:Identify, prioritise and progressively expand the presence of airasia Super App’s Travel vertical - OTA (online travel agent), Flights, Hotel, SNAP (Flight & Hotel), holidays - in Indonesia. Own and manage assigned portfolios with the highest integrity.Ensure optimised content, pricing and availability competitiveness throughout with superior revenue management services.Analyse, visualise and discuss market trends with line managers to influence and grow our business portfolio.Introduce prospective high potential partners to airasia, and familiarise partners with our platform, tools and business model.Perform market visitation to partners to sustain and develop strong partner relationships.Identify market and social trends, and implement creative and analytical marketing campaigns. Continuously promote and support other Line Of Business (LOB) in introducing their products where relevant. Execute effectively based on KPI metrics and other tasks as assigned.Requirements:Bachelor's Degree or equivalent from accredited universities in relevant fields.Relevant professional experience of 3-4 years.Good time management and organisational skills with attention to details.Self-driven, good interpersonal and negotiation skills, and demonstrates the airasia Allstars’ values - Dare To Dream, Make It Happen. Ambitious, dynamic, self-motivated and always eager to learn.Ability to effectively communicate to various levels and present ideas clearly.Result-driven and passionate in building long-term partner relationships.Proficient in G-Suite tools. Willing to travel or work out of office as and when is required due to business needs.We are all different - one talent to another - that is how we rely on our differences. At AirAsia, you will be treated fairly and given all chances to be the best. We committed to creating a diverse work environment and are proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Search Firm Representatives - AirAsia does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position-specific.-",
2279,STAF QC IPC / QC PACKAGING,Karawang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA",Tip,29 days,1001 - 2000 pekerja,Produk Konsumen/Barang konsumen yang bergerak cepat,"KUALIFIKASI :Kandidat harus memiliki Gelar Sarjana di Teknik Kimia, Analis Kimia, Kimia Murni, FarmasiSetidaknya memiliki 1 tahun pengalaman sebagai QC IPC Staff atau QC Packaging ( fresh graduate welcome to apply )Lebih disukai yang menguasai packaging baik kemasan primer maupun sekunderLebih disukai Pegawai (non-manajemen & non-supervisor) khusus dalam Perusahaan Kimia atau setara.Bersedia 6 hari kerjaDEKSRIPSI PEKERJAAN :1. Menguji setiap kedatangan sampel proses sesuai dengan prosedur dan spesifikasi yang berlaku2. Menginput data hasil pemeriksaan3. Membuat Product Complain Report untuk sampel proses yang out of speck4. Mengerjakan pemeriksaan lanjutan (Analisis Longterm) dan pengujian ulang jika diperlukan5. Bekerja sama dengan petugas Warehouse dan petugas Production dalam kondisi penerimaan produksi maupun return from production6. Melakukan pelatihan dan bimbingan teknis serta koreksi atas kerja Asisten Analis7. Memimpin dan mengorganisir Asisten Analis dalam memperlancar tugas atau pekerjaan yang ditugaskan8. Memastikan status produk (passed, hold, reject) dan mengkoordinasikan pemberian label status9. Menyusun dan menyimpan retained sample proses10. Menjamin keabsahan analisa dan melakukan validasi11. Mengelola penyusunan metode analisa12. Membuat laporan bulanan mengenai kualitas produk13. Mengelola dan menyusun laporan stability",
2280,Manajer Explorasi / Ahli Geologi / Exploration Manager Tambang / Geologist,Bengkulu,IDR,Manajer/Asisten Manajer,3 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Sains,Geologi/Geofisika",,,1- 50 pekerja,Pertambangan,"Keahlian / Kualifikasi: ·       Diutamakan kandidat dengan Pendidikan S1 Teknik Geologi / Pertambangan·       Ahli dan Berpengalaman di Bidang Explorasi Tambang Batubara·       Memiliki pengalaman setidaknya 3 tahun sebagai Manajer Explorasi / Supervisi Explorasi / Senior Geologist di Tambang Batubara·       Memiliki kemampuan dalam menggunakan software teknikal / mining programs·       Bersedia untuk melakukan kunjungan ke site lalu melakukan presentasi rencana explorasi ke OwnerDeskripsi Pekerjaan: ·       Berkunjung ke site lalu membuat rencana explorasi kedepannya termasuk berapa kebutuhan alat bor, crew dan sebagainya.·       Membuat perencanaan pertambangan dan operasi penambangan·       Bekerja sama dengan tim produksi untuk mencapai target produksi bulanan·       Memimpin, memotivasi, melatih, membimbing serta mengawasi kegiatan explorasi baik untuk team maupun kontraktor·       Merekrut team explorasi baru (apabila diperlukan)·       Melaporkan kegiatan explorasi di site langsung ke Owner secara harian·       Penempatan di site Tambang (Bengkulu)",15000000.0
2281,English Teacher (Full-Time),Jakarta Selatan,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Pendidikan/Pelatihan,Pendidikan",Asuransi kesehatan;Bisnis (contoh: Kemeja),9 days,1- 50 pekerja,Pendidikan,"As a kids and teens teacher, you will teach students aged from 3-18. Your students are an enthusiastic fun loving bunch, full of energy and ready to learn.Not only will you get to have fun with your students, you will also get to know them and watch them learn and grow. Your students will vary in language ability and personalityRequirements:Diploma or College/University graduateStrong communication and inter-personal skills and is pro-active and drivenA team player who is friendly, approachable and supportiveProfessional, punctual, reliable and of smart appearanceDetail-orientedService mindedComputer literate (Proficient in MS Office Package)Experienced in teaching all age groups offered at EF Kids (3-18 years old students)For Placement: Bintaro, Pamulang, Kelapa Gading, Cipete, Kota Wisata, Citra Gran, Balikpapan, Samarinda, Purwokerto, Banjarmasin, Pekanbaru, Cilegon.",
2282,Staff Admin Project,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)",29 days,1001 - 2000 pekerja,Konstruksi/Bangunan/Teknik,"Kriteria :Pendidikan Min D3 AkuntansiPengalaman minimal 2 tahun sebagai staff keuanganBersedia ditempatkan di lapanganTugas dan Tanggung :Memahami dasar-dasar akuntansiMembuat rekap uang makan staff bulananMembantu pengurusan absensi pekerja dan staff (daftar absen dll)Mampu menggunakan komputerJujur, teliti, cepat dan cermat dalam bekerjaMemiliki kemampuan komunikasi yang baikMampu bekerja di bawah tekanan",4800000.0
2283,Administrasi Keuangan,Jakarta Pusat,IDR,Supervisor/Koordinator,2 tahun,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan",,,,Retail/Merchandise,"Usia min.25 thn, pendidikan min D3/S1 (Akunting)Pengalaman di bidang akunting min 2 tahunMemiliki integritas dan ketelitian dalam melaksanakan tugasMampu mengoperasikan program Komputer & Akunting Accurate, ms Office (Excel, word) dan program lainnyaMemiliki kemampuan komunikasi yang baik.Mampu bekerja di bawah tekananMampu bekerja individu maupun timBersikap jujur, disiplin dan bertanggung jawabLingkup Kerja:Menangani laporan keuangan tiap bulan: Jurnal, Neraca , L/R Bertanggung jawab terhadap pengelolaan AP serta rekonsiliasi Kas Mengerjakan laporan pajak & memahami COGS Memeriksa serta memonitor laporan perpajakan Memantau dan mengelola piutang dan hutang perusahaan Melakukan Stok opname Mengkoordinasikan dan mengontrol perencanaan, pelaporan dan pembayaran kewajiban pajak perusahaan Melakukan dan memastikan pengadaan terkait kebutuhan operasional perusahaan Melakukan verifikasi transaksi atas dokumen penerimaan dan pengeluaran.",
2284,Tenaga Teknis Kefarmasian,Jawa Timur,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,Tidak terspesifikasi,Penuh Waktu,"Layanan Kesehatan,Farmasi",,,,Lingkungan/Kesehatan/Keamanan,"Tugas Umum :Melakukan pelayanan kefarmasian dan tugas-tugas di Apotek secara menyeluruhKualifikasi :Pendidikan minimal D3 Farmasi atau S1 FarmasiWajib memiliki STRTTK aktif dan bersedia mengurus perijinanUsia maksimal 27 tahunBersedia bekerja full time dan bekerja di akhir mingguJujur, teliti, disiplin, dan bertanggung jawabDapat bekerja secara mandiri dan team, komunikatif, dan berorientasi pada pelayananFreshgraduate dipersilahkan melamarDiutamakan domisili di Surabaya",
2285,INDUSTRIAL RELATION STAFF,Jakarta Timur,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR","Tip;Asuransi kesehatan;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Soft loan motorcycle for the employee;Uniform",14 days,2001 - 5000 pekerja,Manufaktur/Produksi,PERSYARATAN:S1 Jurusan HukumMemiliki kemampuan analisa yang baikMampu menjalin komunikasi dan hubungan baik dengan semua pihak (exteral maupun internal)DESKRIPSI PEKERJAAN:Menjembatani antara perusahaan dengan serikat pekerjaMenjadi wakil dari perusahaan dalam perundinganMenangani kasus pekerja,
2286,Telemarketing,Badung,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,1 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",,,,Komputer/Teknik Informatika (Perangkat Lunak),Kualifikasi: -Usia Minimal 18-30 tahun-menguasai skill komunikasi marketing-dapat berbahasa Indonesia dengan baik-dapat mengoperasikan komputer -domisili Balideskripsi pekerjaan:Mampu berkomunikasi dan bernegosiasi dengan baikmampu bekerjasama dengan team maupun personalcepat beradaptasimemiliki motivasi kerja yang baik,
2287,Multimedia Officer,Jakarta Raya,IDR,Supervisor/Koordinator,2 tahun,Sarjana (S1),Penuh Waktu,"Seni/Media/Komunikasi,Seni / Desain Kreatif","Tip;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",24 days,Lebih dari 5000 pekerja,Perbankan/Pelayanan Keuangan,"Responsibilities:Creating interesting, creative and engaging multimedia content about company programs and campaigns with external and internal target audiences.Support brand recognition efforts through partnerships with universities (Adira Multimedia Center development).Manage the operations of the Adira Multimedia Center to produce multimedia communication content.Provide tools and resources for the company's internal broadcast / online event needs.Manage Adira Multimedia Center resources, including developing resource capabilities and skills.Coordinate the manpower needs of the Multimedia Center with the HC division in managing partnerships with universities for the internship program at the Adira Multimedia Center.Requirements:Candidates must at least possess a Bachelor's Degree from any majors with a minimum GPA of 3,00.At least 2 years of experience in the similar field(s) is required for this role.Experience with creating multimedia content for both internal and external communicaions.Experience with handling company's internal broadcast and online events.Have a great Interpersonal skill, both written and spoken communications.Have a great coordination skill  with Interns and Human Resources team.",
2288,Teknisi Mesin Pendingin,Jakarta Raya,IDR,Pegawai (non-manajemen & non-supervisor),3 tahun,"SMA, SMU/SMK/STM",Penuh Waktu,"Manufaktur,Pemeliharaan","Asuransi kesehatan;Pinjaman;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",28 days,201 - 500 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",DICARI TEKNISI UNTUK PENEMPATAN DI JAKARTA / BANDUNG /MAKASSAR / SURABAYADeskripsi Pekerjaan:Melakukan servis dan proses perakitan mesin. DIUTAMAKAN YG MENGERTI Pemograman PLC & Sistem Pendingin.Kualifikasi:Maksimal 30 tahunTidak sedang bekerja di perusahaan lainCandidate must possess at least SMK in Engineering (Electrical/Electronic) or equivalent.At least 3 Year(s) of working experience in the related field is required for this position.Preferably Staff (non-management & non-supervisor) specialized in Engineering - Electrical or equivalent.,5500000.0
